Wed Aug 15 23:32:37 2018,1
Wed Aug 15 23:35:54 2018,1
Wed Aug 15 23:39:10 2018,1
Wed Aug 15 23:42:26 2018,1
Wed Aug 15 23:45:42 2018,1
Wed Aug 15 23:48:58 2018,1
Wed Aug 15 23:52:14 2018,1
Wed Aug 15 23:55:30 2018,1
Wed Aug 15 23:58:46 2018,1
Thu Aug 16 00:02:02 2018,1
Thu Aug 16 00:05:19 2018,1
Thu Aug 16 00:08:35 2018,1
Thu Aug 16 00:11:51 2018,1
Thu Aug 16 00:15:07 2018,2
Thu Aug 16 00:18:25 2018,2
Thu Aug 16 00:21:42 2018,2
Thu Aug 16 00:24:58 2018,2
Thu Aug 16 00:28:14 2018,2
Thu Aug 16 00:31:30 2018,2
Thu Aug 16 00:34:47 2018,2
Thu Aug 16 00:38:03 2018,2
Thu Aug 16 00:41:19 2018,2
Thu Aug 16 00:44:36 2018,2
Thu Aug 16 00:47:52 2018,2
Thu Aug 16 00:51:08 2018,2
Thu Aug 16 00:54:25 2018,2
Thu Aug 16 00:57:41 2018,2
Thu Aug 16 01:00:57 2018,2
Thu Aug 16 01:04:14 2018,2
Thu Aug 16 01:07:30 2018,2
Thu Aug 16 01:10:46 2018,2
Thu Aug 16 01:14:03 2018,2
Thu Aug 16 01:17:20 2018,2
Thu Aug 16 01:20:36 2018,2
Thu Aug 16 01:23:52 2018,2
Thu Aug 16 01:27:09 2018,2
Thu Aug 16 01:30:25 2018,3
Thu Aug 16 01:33:43 2018,3
Thu Aug 16 01:37:00 2018,3
Thu Aug 16 01:40:17 2018,3
Thu Aug 16 01:43:33 2018,3
Thu Aug 16 01:46:50 2018,3
Thu Aug 16 01:50:07 2018,3
Thu Aug 16 01:53:24 2018,3
Thu Aug 16 01:56:40 2018,3
Thu Aug 16 01:59:57 2018,3
Thu Aug 16 02:03:14 2018,3
Thu Aug 16 02:06:31 2018,3
Thu Aug 16 02:09:48 2018,3
Thu Aug 16 02:13:05 2018,3
Thu Aug 16 02:16:22 2018,3
Thu Aug 16 02:19:39 2018,3
Thu Aug 16 02:22:56 2018,4
Thu Aug 16 02:26:15 2018,4
Thu Aug 16 02:29:32 2018,4
Thu Aug 16 02:32:49 2018,4
Thu Aug 16 02:36:07 2018,4
Thu Aug 16 02:39:25 2018,5
Thu Aug 16 02:42:44 2018,5
Thu Aug 16 02:46:01 2018,5
Thu Aug 16 02:49:19 2018,5
Thu Aug 16 02:52:37 2018,5
Thu Aug 16 02:55:54 2018,5
Thu Aug 16 02:59:12 2018,5
Thu Aug 16 03:02:30 2018,5
Thu Aug 16 03:05:48 2018,5
Thu Aug 16 03:09:05 2018,5
Thu Aug 16 03:12:23 2018,5
Thu Aug 16 03:15:40 2018,5
Thu Aug 16 03:18:57 2018,5
Thu Aug 16 03:22:14 2018,5
Thu Aug 16 03:25:32 2018,5
Thu Aug 16 03:28:49 2018,5
Thu Aug 16 03:32:06 2018,5
Thu Aug 16 03:35:23 2018,5
Thu Aug 16 03:38:40 2018,5
Thu Aug 16 03:41:57 2018,5
Thu Aug 16 03:45:15 2018,5
Thu Aug 16 03:48:32 2018,5
Thu Aug 16 03:51:49 2018,5
Thu Aug 16 03:55:05 2018,5
Thu Aug 16 03:58:22 2018,5
Thu Aug 16 04:01:39 2018,5
Thu Aug 16 04:04:56 2018,5
Thu Aug 16 04:08:13 2018,5
Thu Aug 16 04:11:30 2018,5
Thu Aug 16 04:14:46 2018,5
Thu Aug 16 04:18:03 2018,5
Thu Aug 16 04:21:20 2018,5
Thu Aug 16 04:24:37 2018,5
Thu Aug 16 04:27:53 2018,5
Thu Aug 16 04:31:10 2018,5
Thu Aug 16 04:34:26 2018,5
Thu Aug 16 04:37:43 2018,5
Thu Aug 16 04:40:59 2018,5
Thu Aug 16 04:44:16 2018,5
Thu Aug 16 04:47:33 2018,5
Thu Aug 16 04:50:49 2018,5
Thu Aug 16 04:54:05 2018,5
Thu Aug 16 04:57:22 2018,5
Thu Aug 16 05:00:38 2018,4
Thu Aug 16 05:03:56 2018,4
Thu Aug 16 05:07:13 2018,4
Thu Aug 16 05:10:29 2018,4
Thu Aug 16 05:13:46 2018,4
Thu Aug 16 05:17:02 2018,4
Thu Aug 16 05:20:19 2018,4
Thu Aug 16 05:23:35 2018,4
Thu Aug 16 05:26:51 2018,3
Thu Aug 16 05:30:09 2018,3
Thu Aug 16 05:33:25 2018,3
Thu Aug 16 05:36:41 2018,3
Thu Aug 16 05:39:57 2018,3
Thu Aug 16 05:43:13 2018,2
Thu Aug 16 05:46:29 2018,2
Thu Aug 16 05:49:45 2018,2
Thu Aug 16 05:53:02 2018,2
Thu Aug 16 05:56:18 2018,2
Thu Aug 16 05:59:34 2018,2
Thu Aug 16 06:02:50 2018,2
Thu Aug 16 06:06:06 2018,2
Thu Aug 16 06:09:22 2018,2
Thu Aug 16 06:12:38 2018,2
Thu Aug 16 06:15:54 2018,2
Thu Aug 16 06:19:10 2018,2
Thu Aug 16 06:22:26 2018,2
Thu Aug 16 06:25:42 2018,2
Thu Aug 16 06:28:58 2018,2
Thu Aug 16 06:32:14 2018,2
Thu Aug 16 06:35:30 2018,2
Thu Aug 16 06:38:46 2018,2
Thu Aug 16 06:42:02 2018,2
Thu Aug 16 06:45:18 2018,2
Thu Aug 16 06:48:34 2018,2
Thu Aug 16 06:51:49 2018,2
Thu Aug 16 06:55:05 2018,2
Thu Aug 16 06:58:21 2018,2
Thu Aug 16 07:01:37 2018,1
Thu Aug 16 07:04:54 2018,1
