+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| Period | Period Start               | Period End                 | Max             | Min             | Avg             | Sum            | Count | Duration | Duration Start             | Duration End               |
| 360    | 2018-08-10T15:40:17.365000 | 2018-08-10T15:46:17.365000 | 0.127670355232  | 0.0999879864434 | 0.113829170838  | 0.227658341675 | 2     | 180.152  | 2018-08-10T15:41:14.135000 | 2018-08-10T15:44:14.287000 |
| 360    | 2018-08-10T15:46:17.365000 | 2018-08-10T15:52:17.365000 | 0.12787589411   | 0.105571692775  | 0.116723793442  | 0.233447586885 | 2     | 179.973  | 2018-08-10T15:47:14.148000 | 2018-08-10T15:50:14.121000 |
| 360    | 2018-08-10T15:52:17.365000 | 2018-08-10T15:58:17.365000 | 0.133362073601  | 0.133303951661  | 0.133333012631  | 0.266666025262 | 2     | 179.961  | 2018-08-10T15:53:14.161000 | 2018-08-10T15:56:14.122000 |
| 360    | 2018-08-10T15:58:17.365000 | 2018-08-10T16:04:17.365000 | 0.150027783479  | 0.116648543371  | 0.133338163425  | 0.26667632685  | 2     | 179.966  | 2018-08-10T15:59:14.150000 | 2018-08-10T16:02:14.116000 |
| 360    | 2018-08-10T16:04:17.365000 | 2018-08-10T16:10:17.365000 | 0.111093347902  | 0.0722331334383 | 0.0916632406701 | 0.18332648134  | 2     | 179.973  | 2018-08-10T16:05:14.145000 | 2018-08-10T16:08:14.118000 |
| 360    | 2018-08-10T16:10:17.365000 | 2018-08-10T16:16:17.365000 | 0.111089722019  | 0.10557228407   | 0.108331003045  | 0.21666200609  | 2     | 179.971  | 2018-08-10T16:11:14.153000 | 2018-08-10T16:14:14.124000 |
| 360    | 2018-08-10T16:16:17.365000 | 2018-08-10T16:22:17.365000 | 0.1055239693    | 0.0833553530391 | 0.0944396611697 | 0.188879322339 | 2     | 179.953  | 2018-08-10T16:17:14.178000 | 2018-08-10T16:20:14.131000 |
| 360    | 2018-08-10T16:22:17.365000 | 2018-08-10T16:28:17.365000 | 0.122273277429  | 0.105520085565  | 0.113896681497  | 0.227793362994 | 2     | 179.925  | 2018-08-10T16:23:14.191000 | 2018-08-10T16:26:14.116000 |
| 360    | 2018-08-10T16:28:17.365000 | 2018-08-10T16:34:17.365000 | 0.0999786190169 | 0.088903662208  | 0.0944411406124 | 0.188882281225 | 2     | 179.97   | 2018-08-10T16:29:14.154000 | 2018-08-10T16:32:14.124000 |
| 360    | 2018-08-10T16:34:17.365000 | 2018-08-10T16:40:17.365000 | 0.100021217279  | 0.0999843402304 | 0.100002778754  | 0.200005557509 | 2     | 179.961  | 2018-08-10T16:35:14.153000 | 2018-08-10T16:38:14.114000 |
| 360    | 2018-08-10T16:40:17.365000 | 2018-08-10T16:46:17.365000 | 0.111127277661  | 0.0833200354557 | 0.0972236565581 | 0.194447313116 | 2     | 179.974  | 2018-08-10T16:41:14.143000 | 2018-08-10T16:44:14.117000 |
| 360    | 2018-08-10T16:46:17.365000 | 2018-08-10T16:52:17.365000 | 0.111088576176  | 0.0944585701988 | 0.102773573188  | 0.205547146375 | 2     | 179.973  | 2018-08-10T16:47:14.154000 | 2018-08-10T16:50:14.127000 |
| 360    | 2018-08-10T16:52:17.365000 | 2018-08-10T16:58:17.365000 | 0.111131898333  | 0.0777617903857 | 0.0944468443592 | 0.188893688718 | 2     | 179.966  | 2018-08-10T16:53:14.164000 | 2018-08-10T16:56:14.130000 |
| 360    | 2018-08-10T16:58:17.365000 | 2018-08-10T17:04:17.365000 | 0.133359855645  | 0.0999811246746 | 0.11667049016   | 0.23334098032  | 2     | 179.964  | 2018-08-10T16:59:14.164000 | 2018-08-10T17:02:14.128000 |
| 360    | 2018-08-10T17:04:17.365000 | 2018-08-10T17:10:17.365000 | 0.116711589606  | 0.0888550518978 | 0.102783320752  | 0.205566641504 | 2     | 179.93   | 2018-08-10T17:05:14.197000 | 2018-08-10T17:08:14.127000 |
| 360    | 2018-08-10T17:10:17.365000 | 2018-08-10T17:16:17.365000 | 0.111081858938  | 0.100025479824  | 0.105553669381  | 0.211107338762 | 2     | 179.954  | 2018-08-10T17:11:14.175000 | 2018-08-10T17:14:14.129000 |
